PackageName,CompromisedVersion,DetectionDate
@operato/popup,9.0.22, 9.0.35, 9.0.36, 9.0.37, 9.0.38, 9.0.39, 9.0.40, 9.0.41, 9.0.42, 9.0.43, 9.0.44, 9.0.45, 9.0.46,2025-09-16
@operato/pull-to-refresh,9.0.47,2025-09-16
@operato/shell,9.0.22, 9.0.35, 9.0.36, 9.0.37, 9.0.38, 9.0.39,2025-09-16
@operato/styles,9.0.2, 9.0.35, 9.0.36, 9.0.37,2025-09-16
@operato/utils,9.0.51,2025-09-16
@teselagen/bounce-loader,0.3.16, 0.3.17,2025-09-16
@teselagen/liquibase-tools,0.4.1,2025-09-16
@teselagen/range-utils,0.3.14, 0.3.15,2025-09-16
@teselagen/react-list,0.8.19, 0.8.20,2025-09-16
@teselagen/react-table,6.10.19,2025-09-16
@thangved/callback-window,1.1.4,2025-09-16
@things-factory/attachment-base,9.0.55,2025-09-16
@things-factory/auth-base,9.0.43, 9.0.44, 9.0.45,2025-09-16
@things-factory/email-base,9.0.59,2025-09-16
@things-factory/env,9.0.42, 9.0.43, 9.0.44, 9.0.45,2025-09-16
@things-factory/integration-base,9.0.43, 9.0.44, 9.0.45,2025-09-16
@things-factory/integration-marketplace,9.0.43, 9.0.44, 9.0.45,2025-09-16
@things-factory/shell,9.0.43, 9.0.44, 9.0.45,2025-09-16
@tnf-dev/api,1.0.8,2025-09-16
@tnf-dev/core,1.0.8,2025-09-16
@tnf-dev/js,1.0.8,2025-09-16
@tnf-dev/mui,1.0.8,2025-09-16
@tnf-dev/react,1.0.8,2025-09-16
@ui-ux-gang/devextreme-angular-rpk,24.1.7,2025-09-16
@yoobic/design-system,6.5.17,2025-09-16
@yoobic/jpeg-camera-es6,1.0.13,2025-09-16
@yoobic/yobi,8.7.53,2025-09-16
airchief,0.3.1,2025-09-16
airpilot,0.8.8,2025-09-16
browser-webdriver-downloader,3.0.8,2025-09-16
capacitor-notificationhandler,0.0.3,2025-09-16
capacitor-plugin-healthapp,0.0.3,2025-09-16
capacitor-plugin-ihealth,1.1.9,2025-09-16
capacitor-plugin-vonage,1.0.3,2025-09-16
capacitorandroidpermissions,0.0.5,2025-09-16
config-cordova,0.8.5,2025-09-16
cordova-plugin-voxeet2,1.0.24,2025-09-16
cordova-voxeet,1.0.32,2025-09-16
create-hest-app,0.1.9,2025-09-16
db-evo,1.1.5,2025-09-16
devextreme-angular-rpk,21.2.8,2025-09-16
ember-browser-services,5.0.2, 5.0.3,2025-09-16
ember-headless-form,1.1.2, 1.1.3,2025-09-16
ember-headless-form-yup,1.0.1,2025-09-16
ember-headless-table,2.1.5, 2.1.6,2025-09-16
ember-url-hash-polyfill,1.0.12, 1.0.13,2025-09-16
ember-velcro,2.2.1, 2.2.2,2025-09-16
eslint-config-crowdstrike,11.0.2, 11.0.3,2025-09-16
eslint-config-crowdstrike-node,4.0.3, 4.0.4,2025-09-16
eslint-config-teselagen,6.1.7,2025-09-16
globalize-rpk,1.7.4,2025-09-16
graphql-sequelize-teselagen,5.3.8,2025-09-16
html-to-base64-image,1.0.2,2025-09-16
jumpgate,0.0.2,2025-09-16
mcfly-semantic-release,1.3.1,2025-09-16
mcp-knowledge-base,0.0.2,2025-09-16
mcp-knowledge-graph,1.2.1,2025-09-16
mobioffice-cli,1.0.3,2025-09-16
monorepo-next,13.0.1, 13.0.2,2025-09-16
mstate-angular,0.4.4,2025-09-16
mstate-cli,0.4.7,2025-09-16
mstate-dev-react,1.1.1,2025-09-16
mstate-react,1.6.5,2025-09-16
ng2-file-upload,7.0.2, 7.0.3, 8.0.1, 8.0.2, 8.0.3, 9.0.1,2025-09-16
ngx-bootstrap,18.1.4, 19.0.3, 19.0.4, 20.0.3, 20.0.4, 20.0.5,2025-09-16
ngx-ws,1.1.6,2025-09-16
oradm-to-gql,35.0.14, 35.0.15,2025-09-16
oradm-to-sqlz,1.1.2,2025-09-16
ove-auto-annotate,0.0.9,2025-09-16
pm2-gelf-json,1.0.5,2025-09-16
printjs-rpk,1.6.1,2025-09-16
remark-preset-lint-crowdstrike,4.0.1, 4.0.2,2025-09-16
tbssnch,1.0.2,2025-09-16
teselagen-interval-tree,1.1.2,2025-09-16
tg-client-query-builder,2.14.4, 2.14.5,2025-09-16
tg-redbird,1.3.1,2025-09-16
tg-seq-gen,1.0.9, 1.0.10,2025-09-16
thangved-react-grid,1.0.3,2025-09-16
ts-imports,1.0.2,2025-09-16
tvi-cli,0.1.5,2025-09-16
ve-bamreader,0.2.6,2025-09-16
ve-editor,1.0.1,2025-09-16
verror-extra,6.0.1,2025-09-16
voip-callkit,1.0.3,2025-09-16
wdio-web-reporter,0.1.3,2025-09-16
yargs-help-output,5.0.3,2025-09-16
yoo-styles,6.0.326,2025-09-16
@basic-ui-components-stc/basic-ui-components,1.0.5,2025-09-16
@ui-ux-gang/devextreme-rpk,24.1.7,2025-09-16
ng-imports-checker,0.0.10,2025-09-16
ace-colorpicker-rpk,0.0.14,2025-09-16
